species, herd, year, month, day, longitude, latitude, temperature, wind_speed, wind_direction
Greater_Spotted_Eagle, 1, 2006, 08, 06, 57.43, 24.26, 22, 7, 205
Greater_Spotted_Eagle, 1, 2006, 08, 07, 57.10, 24.50, 23, 6, 185
Greater_Spotted_Eagle, 1, 2006, 08, 08, 56.50, 24.41, 23, 6, 180
Greater_Spotted_Eagle, 1, 2006, 08, 09, 56.40, 24.25, 22, 3, 210
Greater_Spotted_Eagle, 1, 2006, 08, 10, 55.40, 25.45, 17, 2, 325
Greater_Spotted_Eagle, 1, 2006, 08, 11, 55.45, 25.47, 14, 3, 0
Greater_Spotted_Eagle, 1, 2006, 08, 12, 55.45, 25.47, 16, 4, 360
Greater_Spotted_Eagle, 1, 2006, 08, 13, 55.45, 25.47, 19, 4, 310
Greater_Spotted_Eagle, 1, 2006, 08, 14, 55.46, 25.52, 14, 5, 215
Greater_Spotted_Eagle, 1, 2006, 08, 15, 56.25, 27.33, 14, 3, 240
Greater_Spotted_Eagle, 1, 2006, 08, 16, 56.51, 29.10, 13, 3, 220
Greater_Spotted_Eagle, 1, 2006, 08, 17, 57.11, 28.51, 15, 3, 270
Greater_Spotted_Eagle, 1, 2006, 08, 18, 57.11, 28.51, 16, 2, 0
Greater_Spotted_Eagle, 1, 2006, 08, 19, 57.11, 28.51, 13, 1, 90
Greater_Spotted_Eagle, 1, 2006, 08, 20, 57.11, 28.51, 14, 2, 300
Greater_Spotted_Eagle, 1, 2006, 08, 21, 57.11, 28.51, 16, 1, 20
Greater_Spotted_Eagle, 1, 2006, 08, 22, 57.11, 28.51, 15, 1, 340
Greater_Spotted_Eagle, 1, 2006, 08, 23, 57.11, 28.51, 14, 4, 70
Greater_Spotted_Eagle, 1, 2006, 08, 24, 57.11, 28.51, 14, 3, 45
Greater_Spotted_Eagle, 1, 2006, 08, 25, 57.60, 28.51, 14, 3, 160
Greater_Spotted_Eagle, 1, 2006, 08, 26, 57.80, 29.10, 14, 1, 310
Greater_Spotted_Eagle, 1, 2006, 08, 27, 57.10, 29.22, 15, 2, 215
Greater_Spotted_Eagle, 1, 2006, 08, 28, 57.30, 28.17, 13, 3, 225
Greater_Spotted_Eagle, 1, 2006, 08, 29, 57.17, 27.47, 13, 3, 45
Greater_Spotted_Eagle, 1, 2006, 08, 30, 56.41, 27.37, 15, 4, 115
Greater_Spotted_Eagle, 1, 2006, 08, 31, 56.38, 27.39, 15, 5, 130
